y z u v
-0.6517 1.7690 0.1578 -0.1428
-0.6517 1.8793 0.1232 -0.1232
-0.6517 1.9897 0.0973 -0.1062
-0.6517 2.1000 0.0778 -0.0917
-0.5069 -1.1000 -0.0448 -0.1209
-0.5069 -0.9897 -0.0588 -0.1438
-0.5069 -0.8793 -0.0782 -0.1721
-0.5069 -0.7690 -0.1052 -0.2073
-0.5069 -0.6586 -0.1436 -0.2511
-0.5069 -0.5483 -0.1988 -0.3057
-0.5069 -0.4379 -0.2798 -0.3738
-0.5069 -0.3276 -0.4020 -0.4586
-0.5069 -0.2172 -0.5945 -0.5639
-0.5069 -0.1069 -0.9243 -0.6948
-0.5069 0.0034 -1.6197 -0.8506
-0.5069 0.1138 0.0000 0.0000
-0.5069 0.2241 0.0000 0.0000
-0.5069 0.3345 0.0000 0.0000
-0.5069 0.4448 0.0000 0.0000
-0.5069 0.5552 0.0000 0.0000
-0.5069 0.6655 0.0000 0.0000
-0.5069 0.7759 0.0000 0.0000
-0.5069 0.8862 0.0000 0.0000
-0.5069 0.9966 0.0000 0.0000
-0.5069 1.1069 1.4974 -0.7338
-0.5069 1.2172 0.8717 -0.5794
-0.5069 1.3276 0.5702 -0.4574
-0.5069 1.4379 0.3940 -0.3641
-0.5069 1.5483 0.2820 -0.2926
-0.5069 1.6586 0.2071 -0.2373
-0.5069 1.7690 0.1554 -0.1942
-0.5069 1.8793 0.1188 -0.1604
-0.5069 1.9897 0.0923 -0.1336
-0.5069 2.1000 0.0727 -0.1122
-0.3621 -1.1000 -0.0317 -0.1373
-0.3621 -0.9897 -0.0428 -0.1663
-0.3621 -0.8793 -0.0587 -0.2034
-0.3621 -0.7690 -0.0815 -0.2515
-0.3621 -0.6586 -0.1150 -0.3146
-0.3621 -0.5483 -0.1646 -0.3983
-0.3621 -0.4379 -0.2391 -0.5112
-0.3621 -0.3276 -0.3525 -0.6672
-0.3621 -0.2172 -0.5263 -0.8926
-0.3621 -0.1069 -0.7888 -1.2471
-0.3621 0.0034 -1.1288 -1.8855
-0.3621 0.1138 -1.1372 -2.9534
-0.3621 0.2241 -0.6581 -3.4093
-0.3621 0.3345 -0.4697 -3.7954
-0.3621 0.4448 -0.2094 -3.7634
-0.3621 0.5552 -0.0253 -3.9350
-0.3621 0.6655 0.1156 -3.7170
-0.3621 0.7759 0.4318 -3.6718
-0.3621 0.8862 0.6092 -3.2686
-0.3621 0.9966 1.1291 -2.7052
-0.3621 1.1069 1.0712 -1.6485
-0.3621 1.2172 0.7511 -1.0525
-0.3621 1.3276 0.5127 -0.7293
-0.3621 1.4379 0.3559 -0.5319
-0.3621 1.5483 0.2528 -0.4011
-0.3621 1.6586 0.1836 -0.3101
-0.3621 1.7690 0.1363 -0.2444
-0.3621 1.8793 0.1031 -0.1958
-0.3621 1.9897 0.0794 -0.1591
-0.3621 2.1000 0.0621 -0.1309
-0.2172 -1.1000 -0.0143 -0.1495
-0.2172 -0.9897 -0.0207 -0.1834
-0.2172 -0.8793 -0.0301 -0.2279
-0.2172 -0.7690 -0.0443 -0.2870
-0.2172 -0.6586 -0.0659 -0.3669
-0.2172 -0.5483 -0.0990 -0.4760
-0.2172 -0.4379 -0.1496 -0.6273
-0.2172 -0.3276 -0.2256 -0.8388
-0.2172 -0.2172 -0.3333 -1.1368
-0.2172 -0.1069 -0.4658 -1.5535
-0.2172 0.0034 -0.5743 -2.1048
-0.2172 0.1138 -0.5688 -2.7088
-0.2172 0.2241 -0.4531 -3.1866
-0.2172 0.3345 -0.3144 -3.4875
-0.2172 0.4448 -0.1831 -3.6304
-0.2172 0.5552 -0.0603 -3.6502
-0.2172 0.6655 0.0668 -3.5486
-0.2172 0.7759 0.2134 -3.3253
-0.2172 0.8862 0.3742 -2.9518
-0.2172 0.9966 0.5142 -2.4202
-0.2172 1.1069 0.5394 -1.8034
-0.2172 1.2172 0.4542 -1.2791
-0.2172 1.3276 0.3441 -0.9067
-0.2172 1.4379 0.2515 -0.6552
-0.2172 1.5483 0.1832 -0.4849
